DBA,BORO,BUILDING,STREET,ZIPCODE,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE
MAISON KAYSER,MANHATTAN,8,W 40TH ST,10018,"8 W 40TH ST, MANHATTAN, NY 10018",Bakery,1/22/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,A,1/22/2018
Raise New York,MANHATTAN,416,3 AVENUE,10016,"416 3 AVENUE, MANHATTAN, NY 10016",American,1/31/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,1/31/2018
TINY'S GIANT SANDWICH SHOP,MANHATTAN,129,RIVINGTON STREET,10002,"129 RIVINGTON STREET, MANHATTAN, NY 10002",Sandwiches,1/12/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,18,B,1/12/2018
LEXINGTON BAR AND BOOKS,MANHATTAN,1020,LEXINGTON AVENUE,10021,"1020 LEXINGTON AVENUE, MANHATTAN, NY 10021",American,3/29/2019,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,3/29/2019
CHIRPING CHICKEN,MANHATTAN,587,9TH AVE,10036,"587 9TH AVE, MANHATTAN, NY 10036",Chicken,9/6/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,7,A,9/6/2018
THE SUPPLY HOUSE,MANHATTAN,1647,2 AVENUE,10028,"1647 2 AVENUE, MANHATTAN, NY 10028",American,11/15/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,11/15/2016
DEAN & DELUCA,MANHATTAN,156,WEST   56 STREET,10019,"156 WEST   56 STREET, MANHATTAN, NY 10019",CafÃ©/Coffee/Tea,1/3/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,1/3/2017
PHEBES,MANHATTAN,359,BOWERY STREET,10003,"359 BOWERY STREET, MANHATTAN, NY 10003",American,6/28/2016,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12,A,6/28/2016
EL TAPATIO MEXICAN RESTAURANT,MANHATTAN,209,EAST  116 STREET,10029,"209 EAST  116 STREET, MANHATTAN, NY 10029",Mexican,12/14/2017,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,7,A,12/14/2017
FLEET BAKERY,MANHATTAN,24,BOWERY,10013,"24 BOWERY, MANHATTAN, NY 10013",Bakery,3/28/2016,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,27,B,3/28/2016
APPLE JACK DINER,MANHATTAN,1725,BROADWAY,10019,"1725 BROADWAY, MANHATTAN, NY 10019",American,12/24/2018,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12,A,12/24/2018
JERUSALEM CAFE,MANHATTAN,35,WEST   36 STREET,10018,"35 WEST   36 STREET, MANHATTAN, NY 10018",Jewish/Kosher,10/30/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,B,10/30/2017
JOHN'S FRIED CHICKEN,MANHATTAN,3853,BROADWAY,10032,"3853 BROADWAY, MANHATTAN, NY 10032",Spanish,12/13/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,P,12/13/2018
DEUTSCHE BANK - MAIN CAFE,MANHATTAN,60,WALL ST,10005,"60 WALL ST, MANHATTAN, NY 10005",American,5/4/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,A,5/4/2016
LAKE COMO PIZZA,MANHATTAN,2549,AMSTERDAM AVENUE,10033,"2549 AMSTERDAM AVENUE, MANHATTAN, NY 10033",Pizza,7/16/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,7/16/2018
MCDONALD'S RESTAURANT,MANHATTAN,1871,2ND AVE,10029,"1871 2ND AVE, MANHATTAN, NY 10029",Hamburgers,2/11/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2/11/2016
POMODORO RISTORANTE,MANHATTAN,51,SPRING STREET,10012,"51 SPRING STREET, MANHATTAN, NY 10012",Pizza/Italian,2/3/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,2/3/2017
CHEF 28,MANHATTAN,29,E 28TH ST,10016,"29 E 28TH ST, MANHATTAN, NY 10016",Chinese,1/29/2019,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,B,1/29/2019
LE PAIN QUOTIDIEN,MANHATTAN,2463,BROADWAY,10025,"2463 BROADWAY, MANHATTAN, NY 10025",Sandwiches,1/20/2016,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,12,A,1/20/2016
KENNEDY FRIED CHICKEN,MANHATTAN,108,W 145TH ST,10039,"108 W 145TH ST, MANHATTAN, NY 10039",American,12/21/2018,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,12/21/2018
THE GLOBE BAR & GRILL,MANHATTAN,158,EAST   23 STREET,10010,"158 EAST   23 STREET, MANHATTAN, NY 10010",American,4/11/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,4/11/2018
CAFE PETISCO,MANHATTAN,189,EAST BROADWAY,10002,"189 EAST BROADWAY, MANHATTAN, NY 10002",Mediterranean,4/11/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,4/11/2018
CAFE DELECTICA,MANHATTAN,564,3RD AVE,10016,"564 3RD AVE, MANHATTAN, NY 10016",American,3/30/2017,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,13,A,3/30/2017
PARADIS TO GO,MANHATTAN,114,4 AVENUE,10003,"114 4 AVENUE, MANHATTAN, NY 10003",American,11/16/2018,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11,A,11/16/2018
ARDESIA,MANHATTAN,510,WEST   52 STREET,10019,"510 WEST   52 STREET, MANHATTAN, NY 10019",American,4/5/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,4/5/2017
ANDY'S CAFETERIA (HPD BUILDING),MANHATTAN,100,GOLD ST,10038,"100 GOLD ST, MANHATTAN, NY 10038",American,6/20/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,6/20/2016
TABATA 2 JAPANESE NOODLE RESTAURANT,MANHATTAN,557,8TH AVE,10018,"557 8TH AVE, MANHATTAN, NY 10018",Japanese,5/10/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A,5/10/2016
THE KATI ROLL COMPANY,MANHATTAN,99,MAC DOUGAL STREET,10012,"99 MAC DOUGAL STREET, MANHATTAN, NY 10012",Indian,8/13/2018,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,8/13/2018
HUNAN HOUSE,MANHATTAN,40,W 56TH ST,10019,"40 W 56TH ST, MANHATTAN, NY 10019",Chinese,12/27/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,47,C,12/27/2018
TWO-BITS RETRO ARCADE,MANHATTAN,153,ESSEX STREET,10002,"153 ESSEX STREET, MANHATTAN, NY 10002",American,3/15/2016,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12,A,3/15/2016
V-BREAD CAFE NY,MANHATTAN,11,ALLEN ST,10002,"11 ALLEN ST, MANHATTAN, NY 10002",Vietnamese/Cambodian/Malaysia,11/24/2017,Food Protection Certificate not held by supervisor of food operations.,Critical,24,B,11/24/2017
DUNKIN' DONUTS,MANHATTAN,127,EAST   23 STREET,10010,"127 EAST   23 STREET, MANHATTAN, NY 10010",Donuts,12/24/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,12/24/2018
THE CUPPING ROOM,MANHATTAN,359,WEST BROADWAY,10013,"359 WEST BROADWAY, MANHATTAN, NY 10013",American,3/21/2016,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,3/21/2016
LE PRIVE,MANHATTAN,626,10TH AVE,10036,"626 10TH AVE, MANHATTAN, NY 10036",French,12/26/2018,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,8,A,12/26/2018
SCALLYWAG'S IRISH PUB & REST,MANHATTAN,508,9 AVENUE,10018,"508 9 AVENUE, MANHATTAN, NY 10018",Irish,12/14/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,12/14/2017
THE BRESLIN BAR & DINNING ROOM,MANHATTAN,16,WEST   29 STREET,10001,"16 WEST   29 STREET, MANHATTAN, NY 10001",English,7/17/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,7/17/2017
JUNIPER,MANHATTAN,237,W 35TH ST,10001,"237 W 35TH ST, MANHATTAN, NY 10001",American,2/21/2018,Food Protection Certificate not held by supervisor of food operations.,Critical,12,A,2/21/2018
Lamano,MANHATTAN,265,W 20TH ST,10011,"265 W 20TH ST, MANHATTAN, NY 10011",Spanish,8/8/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,8/8/2017
LENA'S ITALIAN KITCHEN,MANHATTAN,551,2ND AVE,10016,"551 2ND AVE, MANHATTAN, NY 10016",Italian,1/16/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,1/16/2018
YORKVILLE BAGEL & CAFE,MANHATTAN,1821,2ND AVE,10128,"1821 2ND AVE, MANHATTAN, NY 10128",American,7/5/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,7/5/2017
MAISON KAYSER,MANHATTAN,400,5TH AVE,10018,"400 5TH AVE, MANHATTAN, NY 10018",French,7/12/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,7/12/2018
EL VEZ,MANHATTAN,259,VESEY ST,10282,"259 VESEY ST, MANHATTAN, NY 10282",Mexican,10/31/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,10/31/2016
THE BOILER ROOM,MANHATTAN,86,EAST    4 STREET,10003,"86 EAST    4 STREET, MANHATTAN, NY 10003",American,4/17/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,44,C,4/17/2018
GOLDEN STEAMER,MANHATTAN,143,MOTT STREET,10013,"143 MOTT STREET, MANHATTAN, NY 10013",Bakery,9/7/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,9/7/2018
NIRVANA,MANHATTAN,346,LEXINGTON AVENUE,10016,"346 LEXINGTON AVENUE, MANHATTAN, NY 10016",Indian,6/29/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,6/29/2016
SAIGON SHACK,MANHATTAN,114,MACDOUGAL STREET,10012,"114 MACDOUGAL STREET, MANHATTAN, NY 10012",Vietnamese/Cambodian/Malaysia,6/7/2018,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,13,A,6/7/2018
CITY CATERING & CAFE,MANHATTAN,333,E 23RD ST,10010,"333 E 23RD ST, MANHATTAN, NY 10010",American,5/24/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,5/24/2017
THE GEORGIAN SUITE KITCHEN,MANHATTAN,.1-A,EAST 77 ST,,".1-A EAST 77 ST, MANHATTAN, NY ",Continental,2/24/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,2/24/2017
TICK TOCK DINER,MANHATTAN,481,8 AVENUE,10001,"481 8 AVENUE, MANHATTAN, NY 10001",American,5/4/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17,B,5/4/2018
PAQUITO'S,MANHATTAN,143,1 AVENUE,10003,"143 1 AVENUE, MANHATTAN, NY 10003",Mexican,8/16/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,22,B,8/16/2018
POTBELLY SANDWICH WORKS,MANHATTAN,100,PARK AVE,10017,"100 PARK AVE, MANHATTAN, NY 10017",Sandwiches/Salads/Mixed Buffet,10/6/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,10/6/2016
THE EAST POLE,MANHATTAN,133,EAST 65TH ST,10065,"133 EAST 65TH ST, MANHATTAN, NY 10065",American,1/15/2019,Proper sanitization not provided for utensil ware washing operation.,Not Critical,11,A,1/15/2019
JOE'S PUB,MANHATTAN,425,LAFAYETTE STREET,10003,"425 LAFAYETTE STREET, MANHATTAN, NY 10003",American,4/5/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,4/5/2016
REGGAE SUN DELIGHTS NATURAL JUICE BAR,MANHATTAN,227229,WEST 145 STREET,,"227229 WEST 145 STREET, MANHATTAN, NY ","Juice, Smoothies, Fruit Salads",7/20/2017,Hot food item not held at or above 140Âº F.,Critical,11,A,7/20/2017
COOL FRESH JUICE BAR,MANHATTAN,333,6TH AVE,10014,"333 6TH AVE, MANHATTAN, NY 10014","Juice, Smoothies, Fruit Salads",7/16/2018,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,10,A,7/16/2018
AMORE,MANHATTAN,125,W 26TH ST,10001,"125 W 26TH ST, MANHATTAN, NY 10001",Italian,9/4/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,9/4/2018
EUROPA CAFE,MANHATTAN,515,MADISON AVENUE,10022,"515 MADISON AVENUE, MANHATTAN, NY 10022",Sandwiches/Salads/Mixed Buffet,3/28/2017,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,11,A,3/28/2017
LE MIRAGE CAFE,MANHATTAN,20,WEST   43 STREET,10036,"20 WEST   43 STREET, MANHATTAN, NY 10036",American,8/20/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,8/20/2018
SUSHI SEKI,MANHATTAN,1143,1 AVENUE,10065,"1143 1 AVENUE, MANHATTAN, NY 10065",Japanese,6/28/2017,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,23,B,6/28/2017
JOHN'S FRIED CHICKEN,MANHATTAN,512,WEST 207 STREET,10034,"512 WEST 207 STREET, MANHATTAN, NY 10034",Chicken,10/16/2018,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,27,B,10/16/2018
KORI TRIBECA,MANHATTAN,253,CHURCH ST,10013,"253 CHURCH ST, MANHATTAN, NY 10013",Korean,11/5/2015,Wiping cloths soiled or not stored in sanitizing solution.,Critical,35,C,11/5/2015
ATOMIX,MANHATTAN,104,E 30TH ST,10016,"104 E 30TH ST, MANHATTAN, NY 10016",Korean,9/29/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,9/29/2018
THE RITZ-CARLTON HOTEL/AUDEN,MANHATTAN,50,CENTRAL PARK SOUTH,10019,"50 CENTRAL PARK SOUTH, MANHATTAN, NY 10019",American,9/22/2017,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,7,A,9/22/2017
ALMAYASS,MANHATTAN,24,EAST   21 STREET,10010,"24 EAST   21 STREET, MANHATTAN, NY 10010",Middle Eastern,9/24/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,9/24/2018
VICE VERSA,MANHATTAN,325,WEST   51 STREET,10019,"325 WEST   51 STREET, MANHATTAN, NY 10019",Italian,11/1/2016,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,12,A,11/1/2016
BREADS BAKERY,MANHATTAN,18,EAST   16 STREET,10003,"18 EAST   16 STREET, MANHATTAN, NY 10003",Bakery,10/3/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,10/3/2017
FIGS BY TODD ENGLISH,MANHATTAN,NKA,"LAGUARDIA AIRPORT, CENTRAL TERMINAL BUIL",,"NKA LAGUARDIA AIRPORT, CENTRAL TERMINAL BUIL, MANHATTAN, NY ",American,10/17/2018,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,10/17/2018
LEX RESTAURANT,MANHATTAN,1370,LEXINGTON AVENUE,10128,"1370 LEXINGTON AVENUE, MANHATTAN, NY 10128",Italian,4/19/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,4/19/2016
COLBEH,MANHATTAN,32,WEST 39 STREET,10018,"32 WEST 39 STREET, MANHATTAN, NY 10018",Jewish/Kosher,4/18/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,4/18/2018
CAKED UP CAFE,MANHATTAN,345,7TH AVE,10001,"345 7TH AVE, MANHATTAN, NY 10001",CafÃ©/Coffee/Tea,12/5/2018,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,4,A,12/5/2018
RIDGEWAY DINER,MANHATTAN,664,6 AVENUE,10010,"664 6 AVENUE, MANHATTAN, NY 10010",American,2/21/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,2/21/2017
CIPRIANI,MANHATTAN,55,WALL STREET,10005,"55 WALL STREET, MANHATTAN, NY 10005",American,12/14/2015,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,33,C,12/14/2015
MISIRIZZI,MANHATTAN,36,E 4TH ST,10003,"36 E 4TH ST, MANHATTAN, NY 10003",Italian,10/12/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,10/12/2016
SHANGHAI CUISINE,MANHATTAN,89,BAYARD ST,10013,"89 BAYARD ST, MANHATTAN, NY 10013",Chinese,10/13/2015,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,B,10/13/2015
IKINARI STEAK,MANHATTAN,90,E 10TH ST,10003,"90 E 10TH ST, MANHATTAN, NY 10003",Japanese,3/26/2018,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,7,A,3/26/2018
THE KATI ROLL COMPANY,MANHATTAN,229,EAST   53 STREET,10022,"229 EAST   53 STREET, MANHATTAN, NY 10022",Indian,7/23/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,7/23/2015
tutto il giorno,MANHATTAN,114,FRANKLIN ST,10013,"114 FRANKLIN ST, MANHATTAN, NY 10013",Italian,5/3/2016,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,5/3/2016
BUTTERCUP BAKE SHOP,MANHATTAN,828,7TH AVE,10019,"828 7TH AVE, MANHATTAN, NY 10019",Bakery,1/2/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,1/2/2019
Izumi Sushi,MANHATTAN,139,W 28TH ST,10001,"139 W 28TH ST, MANHATTAN, NY 10001",Japanese,8/23/2018,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19,B,8/23/2018
GINA LA FORNARINA,MANHATTAN,26,EAST   91 STREET,10128,"26 EAST   91 STREET, MANHATTAN, NY 10128",Italian,6/3/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,6/3/2016
LEX RESTAURANT,MANHATTAN,1370,LEXINGTON AVENUE,10128,"1370 LEXINGTON AVENUE, MANHATTAN, NY 10128",Italian,3/14/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/14/2019
YAKITORI TORA,MANHATTAN,72,KENMARE ST,10012,"72 KENMARE ST, MANHATTAN, NY 10012",Japanese,8/10/2017,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,8/10/2017
HAN,MANHATTAN,854,10TH AVE,10019,"854 10TH AVE, MANHATTAN, NY 10019",Chinese,3/30/2018,Food contact surface not properly maintained.,Not Critical,12,A,3/30/2018
EISENBERG'S SANDWICH SHOP,MANHATTAN,174,5TH AVE,10010,"174 5TH AVE, MANHATTAN, NY 10010",American,7/31/2018,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,12,A,7/31/2018
LE PAIN QUOTIDIEN,MANHATTAN,1006,1ST AVE,10022,"1006 1ST AVE, MANHATTAN, NY 10022",French,7/27/2018,Food contact surface not properly maintained.,Not Critical,13,A,7/27/2018
SLICED,MANHATTAN,264,35TH ST,,"264 35TH ST, MANHATTAN, NY ",American,12/21/2017,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12,A,12/21/2017
MCDONALD'S,MANHATTAN,1499,3RD AVE,10028,"1499 3RD AVE, MANHATTAN, NY 10028",American,1/5/2018,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,1/5/2018
STARBUCKS,MANHATTAN,300,WEST   23 STREET,10011,"300 WEST   23 STREET, MANHATTAN, NY 10011",CafÃ©/Coffee/Tea,2/13/2019,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,2/13/2019
CAFE CINQ,MANHATTAN,5,PENN PLZ,10001,"5 PENN PLZ, MANHATTAN, NY 10001",Delicatessen,12/18/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,37,C,12/18/2018
SHUN LEE PALACE RESTAURANT,MANHATTAN,155,EAST   55 STREET,10022,"155 EAST   55 STREET, MANHATTAN, NY 10022",Chinese,9/24/2018,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,9/24/2018
EL QUIJOTE,MANHATTAN,226,W 23RD ST,10011,"226 W 23RD ST, MANHATTAN, NY 10011",Spanish,1/23/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,1/23/2018
LA CANTINA HEIGHTS,MANHATTAN,4460,BROADWAY,10040,"4460 BROADWAY, MANHATTAN, NY 10040",American,1/12/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,1/12/2016
NEFIIS,MANHATTAN,255,W 55TH ST,10019,"255 W 55TH ST, MANHATTAN, NY 10019",Turkish,1/18/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,1/18/2018
THE BURGARY,MANHATTAN,67,CLINTON STREET,10002,"67 CLINTON STREET, MANHATTAN, NY 10002",American,4/27/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,4/27/2016
MASAWA,MANHATTAN,1239,AMSTERDAM AVENUE,10027,"1239 AMSTERDAM AVENUE, MANHATTAN, NY 10027",Ethiopian,9/14/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,9/14/2016
MOTORINO,MANHATTAN,510,COLUMBUS AVE,10024,"510 COLUMBUS AVE, MANHATTAN, NY 10024",Pizza/Italian,1/22/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,1/22/2018
